card_id,source_card_id,prm,benchmark,problem_id,ann_labels,gm_votes,product_votes,no_preference_votes,majority_label
25c211f41e97,math500_internlm2_7b_reward_091,internlm2_7b_reward,math500,math500_005,no_preference|no_preference|gm,1,0,2,no_preference
26782667093a,math500_internlm2_7b_reward_073,internlm2_7b_reward,math500,math500_474,no_preference|no_preference|gm,1,0,2,no_preference
27af93a341ef,math500_skywork_prm_066,skywork_prm,math500,math500_121,no_preference|no_preference|product,0,1,2,no_preference
298ea2e546a1,gsm8k_skywork_prm_021,skywork_prm,gsm8k,gsm8k_388,gm|no_preference|no_preference,1,0,2,no_preference
2a824851dcf1,math500_skywork_prm_025,skywork_prm,math500,math500_280,gm|no_preference|gm,2,0,1,gm
2b21da93529f,gsm8k_skywork_prm_049,skywork_prm,gsm8k,gsm8k_425,no_preference|no_preference|gm,1,0,2,no_preference
2b480f890201,gsm8k_skywork_prm_096,skywork_prm,gsm8k,gsm8k_128,gm|gm|gm,3,0,0,gm
2c4a69a71dd4,gsm8k_skywork_prm_009,skywork_prm,gsm8k,gsm8k_397,no_preference|no_preference|no_preference,0,0,3,no_preference
2d3b58de0989,math500_skywork_prm_008,skywork_prm,math500,math500_404,no_preference|no_preference|no_preference,0,0,3,no_preference
2d4a6b05e613,gsm8k_internlm2_7b_reward_055,internlm2_7b_reward,gsm8k,gsm8k_271,gm|no_preference|gm,2,0,1,gm
2dabf74745e2,math500_internlm2_7b_reward_027,internlm2_7b_reward,math500,math500_131,no_preference|no_preference|gm,1,0,2,no_preference
3003f4a02fe7,gsm8k_skywork_prm_074,skywork_prm,gsm8k,gsm8k_151,gm|no_preference|gm,2,0,1,gm
30967a05e57f,math500_internlm2_7b_reward_069,internlm2_7b_reward,math500,math500_366,gm|no_preference|gm,2,0,1,gm
32c985a29c68,math500_skywork_prm_016,skywork_prm,math500,math500_406,no_preference|no_preference|gm,1,0,2,no_preference
338f7581c177,math500_skywork_prm_022,skywork_prm,math500,math500_310,gm|no_preference|gm,2,0,1,gm
3771b630c0f4,math500_skywork_prm_072,skywork_prm,math500,math500_005,no_preference|no_preference|no_preference,0,0,3,no_preference
39283cbc4b2b,math500_skywork_prm_015,skywork_prm,math500,math500_024,gm|no_preference|gm,2,0,1,gm
3a84d3790ef5,math500_internlm2_7b_reward_097,internlm2_7b_reward,math500,math500_151,gm|no_preference|gm,2,0,1,gm
3b20eced41e1,gsm8k_internlm2_7b_reward_002,internlm2_7b_reward,gsm8k,gsm8k_348,gm|no_preference|gm,2,0,1,gm
3cadef3ee492,math500_skywork_prm_028,skywork_prm,math500,math500_275,gm|no_preference|gm,2,0,1,gm
3e94a82c1f3c,math500_internlm2_7b_reward_046,internlm2_7b_reward,math500,math500_027,gm|no_preference|gm,2,0,1,gm
3ee0887027e6,math500_internlm2_7b_reward_090,internlm2_7b_reward,math500,math500_207,no_preference|no_preference|gm,1,0,2,no_preference
3fd67f264930,gsm8k_skywork_prm_013,skywork_prm,gsm8k,gsm8k_046,no_preference|no_preference|gm,1,0,2,no_preference
40d49b8991f2,gsm8k_internlm2_7b_reward_093,internlm2_7b_reward,gsm8k,gsm8k_219,gm|gm|gm,3,0,0,gm
40d8271a20ad,gsm8k_skywork_prm_044,skywork_prm,gsm8k,gsm8k_029,gm|no_preference|gm,2,0,1,gm
42de4ca83a1f,gsm8k_internlm2_7b_reward_052,internlm2_7b_reward,gsm8k,gsm8k_097,no_preference|gm|gm,2,0,1,gm
435e932aef3c,gsm8k_internlm2_7b_reward_060,internlm2_7b_reward,gsm8k,gsm8k_424,gm|no_preference|gm,2,0,1,gm
44cff86c1fd5,math500_internlm2_7b_reward_002,internlm2_7b_reward,math500,math500_199,no_preference|no_preference|gm,1,0,2,no_preference
455df6aa2fcd,math500_skywork_prm_018,skywork_prm,math500,math500_283,no_preference|no_preference|no_preference,0,0,3,no_preference
459b41804365,math500_internlm2_7b_reward_088,internlm2_7b_reward,math500,math500_013,no_preference|no_preference|no_preference,0,0,3,no_preference
477d4668937a,math500_internlm2_7b_reward_039,internlm2_7b_reward,math500,math500_223,gm|gm|gm,3,0,0,gm
4d8f71196b4d,math500_internlm2_7b_reward_053,internlm2_7b_reward,math500,math500_334,no_preference|no_preference|gm,1,0,2,no_preference
4e2d389c9954,math500_internlm2_7b_reward_047,internlm2_7b_reward,math500,math500_221,gm|no_preference|gm,2,0,1,gm
4e49c019b9ec,gsm8k_skywork_prm_056,skywork_prm,gsm8k,gsm8k_022,gm|no_preference|gm,2,0,1,gm
51fafe0c35b0,math500_internlm2_7b_reward_041,internlm2_7b_reward,math500,math500_471,gm|no_preference|gm,2,0,1,gm
53fc5a8ed2a5,gsm8k_internlm2_7b_reward_065,internlm2_7b_reward,gsm8k,gsm8k_385,no_preference|no_preference|no_preference,0,0,3,no_preference
55856d7b21a3,gsm8k_skywork_prm_052,skywork_prm,gsm8k,gsm8k_381,no_preference|no_preference|no_preference,0,0,3,no_preference
56f9d0440194,gsm8k_internlm2_7b_reward_078,internlm2_7b_reward,gsm8k,gsm8k_313,gm|no_preference|gm,2,0,1,gm
5814f6a2aed3,math500_skywork_prm_045,skywork_prm,math500,math500_086,no_preference|no_preference|gm,1,0,2,no_preference
587cc87ead09,gsm8k_internlm2_7b_reward_089,internlm2_7b_reward,gsm8k,gsm8k_420,gm|no_preference|gm,2,0,1,gm
59526b0df869,gsm8k_internlm2_7b_reward_054,internlm2_7b_reward,gsm8k,gsm8k_100,gm|gm|gm,3,0,0,gm
59d1a320db62,math500_skywork_prm_043,skywork_prm,math500,math500_434,gm|gm|gm,3,0,0,gm
5cec2acb1f36,gsm8k_internlm2_7b_reward_004,internlm2_7b_reward,gsm8k,gsm8k_118,gm|no_preference|gm,2,0,1,gm
5de526b5eea0,math500_skywork_prm_057,skywork_prm,math500,math500_112,gm|no_preference|gm,2,0,1,gm
5e31b512047a,gsm8k_internlm2_7b_reward_034,internlm2_7b_reward,gsm8k,gsm8k_318,gm|gm|gm,3,0,0,gm
5fa099c70d62,gsm8k_internlm2_7b_reward_056,internlm2_7b_reward,gsm8k,gsm8k_031,gm|no_preference|gm,2,0,1,gm
5fb8ba77941e,math500_skywork_prm_051,skywork_prm,math500,math500_243,no_preference|no_preference|no_preference,0,0,3,no_preference
60d788ee8795,gsm8k_skywork_prm_061,skywork_prm,gsm8k,gsm8k_458,no_preference|no_preference|no_preference,0,0,3,no_preference
6433626d30d7,gsm8k_skywork_prm_068,skywork_prm,gsm8k,gsm8k_286,gm|no_preference|gm,2,0,1,gm
64cdff8dd526,gsm8k_skywork_prm_081,skywork_prm,gsm8k,gsm8k_365,gm|no_preference|gm,2,0,1,gm
6507c25a99bc,gsm8k_internlm2_7b_reward_064,internlm2_7b_reward,gsm8k,gsm8k_489,no_preference|no_preference|no_preference,0,0,3,no_preference
65ec0bce0d20,gsm8k_skywork_prm_034,skywork_prm,gsm8k,gsm8k_280,gm|no_preference|gm,2,0,1,gm
6891337dc624,math500_internlm2_7b_reward_025,internlm2_7b_reward,math500,math500_335,gm|no_preference|gm,2,0,1,gm
68b1141fe483,gsm8k_internlm2_7b_reward_061,internlm2_7b_reward,gsm8k,gsm8k_107,gm|no_preference|gm,2,0,1,gm
69a66decafad,math500_internlm2_7b_reward_096,internlm2_7b_reward,math500,math500_272,no_preference|no_preference|gm,1,0,2,no_preference
69f4162efe62,math500_internlm2_7b_reward_001,internlm2_7b_reward,math500,math500_046,no_preference|gm|gm,2,0,1,gm
6b2c5ad11b3e,gsm8k_skywork_prm_002,skywork_prm,gsm8k,gsm8k_372,gm|no_preference|gm,2,0,1,gm
6c44d8f70e87,math500_internlm2_7b_reward_083,internlm2_7b_reward,math500,math500_231,gm|no_preference|gm,2,0,1,gm
6dd70d7b8d46,math500_internlm2_7b_reward_048,internlm2_7b_reward,math500,math500_370,no_preference|no_preference|gm,1,0,2,no_preference
6de0c2e14368,math500_skywork_prm_036,skywork_prm,math500,math500_107,no_preference|no_preference|no_preference,0,0,3,no_preference
6e021733e720,math500_skywork_prm_023,skywork_prm,math500,math500_299,gm|no_preference|gm,2,0,1,gm
6eac1b1d601d,gsm8k_skywork_prm_084,skywork_prm,gsm8k,gsm8k_263,gm|gm|gm,3,0,0,gm
6f5648236980,gsm8k_skywork_prm_073,skywork_prm,gsm8k,gsm8k_278,no_preference|no_preference|no_preference,0,0,3,no_preference
727b90783681,gsm8k_internlm2_7b_reward_017,internlm2_7b_reward,gsm8k,gsm8k_354,gm|no_preference|gm,2,0,1,gm
743420f54d1b,math500_internlm2_7b_reward_031,internlm2_7b_reward,math500,math500_468,no_preference|no_preference|no_preference,0,0,3,no_preference
74c913ef4dd4,gsm8k_internlm2_7b_reward_013,internlm2_7b_reward,gsm8k,gsm8k_150,gm|gm|gm,3,0,0,gm
74cd700a351f,gsm8k_internlm2_7b_reward_053,internlm2_7b_reward,gsm8k,gsm8k_483,gm|no_preference|gm,2,0,1,gm
7788f79d6d9b,gsm8k_skywork_prm_032,skywork_prm,gsm8k,gsm8k_362,gm|no_preference|gm,2,0,1,gm
78bf1abb3511,gsm8k_internlm2_7b_reward_032,internlm2_7b_reward,gsm8k,gsm8k_208,gm|no_preference|gm,2,0,1,gm
78da0ce862e1,gsm8k_internlm2_7b_reward_029,internlm2_7b_reward,gsm8k,gsm8k_353,gm|no_preference|gm,2,0,1,gm
7ab4391a06ad,math500_skywork_prm_017,skywork_prm,math500,math500_405,gm|no_preference|gm,2,0,1,gm
7c8075a57a50,math500_skywork_prm_020,skywork_prm,math500,math500_358,gm|no_preference|gm,2,0,1,gm
7d90908845c4,math500_skywork_prm_064,skywork_prm,math500,math500_026,no_preference|gm|gm,2,0,1,gm
801c892459d7,math500_skywork_prm_002,skywork_prm,math500,math500_254,gm|no_preference|gm,2,0,1,gm
82115501d48b,gsm8k_skywork_prm_099,skywork_prm,gsm8k,gsm8k_318,no_preference|no_preference|gm,1,0,2,no_preference
82ae2111f96f,math500_internlm2_7b_reward_057,internlm2_7b_reward,math500,math500_346,gm|no_preference|gm,2,0,1,gm
8309adbc1418,math500_internlm2_7b_reward_062,internlm2_7b_reward,math500,math500_140,gm|no_preference|gm,2,0,1,gm
831ca0d3e405,gsm8k_internlm2_7b_reward_040,internlm2_7b_reward,gsm8k,gsm8k_116,gm|no_preference|gm,2,0,1,gm
853a65dd7f88,gsm8k_internlm2_7b_reward_082,internlm2_7b_reward,gsm8k,gsm8k_474,gm|no_preference|gm,2,0,1,gm
86e1923e66ab,gsm8k_internlm2_7b_reward_099,internlm2_7b_reward,gsm8k,gsm8k_350,gm|no_preference|gm,2,0,1,gm
87377a38dbc2,math500_internlm2_7b_reward_020,internlm2_7b_reward,math500,math500_241,gm|gm|gm,3,0,0,gm
878f1ca78fcc,math500_internlm2_7b_reward_061,internlm2_7b_reward,math500,math500_330,gm|no_preference|gm,2,0,1,gm
8b3488e3cf4b,gsm8k_skywork_prm_085,skywork_prm,gsm8k,gsm8k_233,gm|no_preference|gm,2,0,1,gm
8c43ec4d9c76,gsm8k_skywork_prm_062,skywork_prm,gsm8k,gsm8k_181,gm|no_preference|gm,2,0,1,gm
90b78afe3377,math500_internlm2_7b_reward_077,internlm2_7b_reward,math500,math500_134,no_preference|no_preference|gm,1,0,2,no_preference
92493ba5e5de,math500_skywork_prm_009,skywork_prm,math500,math500_017,product|no_preference|gm,1,1,1,split
92fc7e95eb5e,gsm8k_skywork_prm_041,skywork_prm,gsm8k,gsm8k_211,no_preference|no_preference|no_preference,0,0,3,no_preference
932dedf9ebb8,math500_skywork_prm_050,skywork_prm,math500,math500_234,no_preference|no_preference|no_preference,0,0,3,no_preference
9630a89fb8c7,gsm8k_internlm2_7b_reward_086,internlm2_7b_reward,gsm8k,gsm8k_341,gm|no_preference|gm,2,0,1,gm
981c01eaf0dc,gsm8k_internlm2_7b_reward_075,internlm2_7b_reward,gsm8k,gsm8k_064,no_preference|no_preference|no_preference,0,0,3,no_preference
990ec7fadf1d,gsm8k_internlm2_7b_reward_007,internlm2_7b_reward,gsm8k,gsm8k_013,gm|gm|gm,3,0,0,gm
99614891475b,gsm8k_internlm2_7b_reward_058,internlm2_7b_reward,gsm8k,gsm8k_086,gm|no_preference|gm,2,0,1,gm
9dbcef439812,math500_internlm2_7b_reward_085,internlm2_7b_reward,math500,math500_288,no_preference|no_preference|gm,1,0,2,no_preference
9f6e61392251,math500_internlm2_7b_reward_095,internlm2_7b_reward,math500,math500_309,no_preference|no_preference|gm,1,0,2,no_preference
9fdeb3f7d85b,math500_skywork_prm_068,skywork_prm,math500,math500_415,gm|no_preference|gm,2,0,1,gm
a055f8dc31ca,math500_internlm2_7b_reward_012,internlm2_7b_reward,math500,math500_059,no_preference|no_preference|gm,1,0,2,no_preference
a0d102eae822,gsm8k_internlm2_7b_reward_087,internlm2_7b_reward,gsm8k,gsm8k_218,gm|gm|gm,3,0,0,gm
a55e59e0aab3,math500_skywork_prm_065,skywork_prm,math500,math500_215,no_preference|no_preference|no_preference,0,0,3,no_preference
a5fbc3bb93ff,math500_internlm2_7b_reward_003,internlm2_7b_reward,math500,math500_238,gm|no_preference|gm,2,0,1,gm
a70ec4e683d8,gsm8k_skywork_prm_090,skywork_prm,gsm8k,gsm8k_013,no_preference|gm|gm,2,0,1,gm
a76ceb28dc4e,gsm8k_internlm2_7b_reward_019,internlm2_7b_reward,gsm8k,gsm8k_025,gm|no_preference|gm,2,0,1,gm
a78bc1193253,gsm8k_internlm2_7b_reward_020,internlm2_7b_reward,gsm8k,gsm8k_121,gm|no_preference|gm,2,0,1,gm
aa0b43485e27,gsm8k_skywork_prm_028,skywork_prm,gsm8k,gsm8k_349,no_preference|no_preference|gm,1,0,2,no_preference
aa512e72df41,gsm8k_skywork_prm_054,skywork_prm,gsm8k,gsm8k_393,gm|no_preference|gm,2,0,1,gm
aa95d0af4d32,gsm8k_internlm2_7b_reward_063,internlm2_7b_reward,gsm8k,gsm8k_029,gm|no_preference|gm,2,0,1,gm
ab0aa14b0439,math500_skywork_prm_031,skywork_prm,math500,math500_046,no_preference|gm|no_preference,1,0,2,no_preference
acf66429f6bc,math500_internlm2_7b_reward_028,internlm2_7b_reward,math500,math500_336,gm|no_preference|gm,2,0,1,gm
ae3b9a57ba9e,math500_skywork_prm_063,skywork_prm,math500,math500_301,no_preference|no_preference|gm,1,0,2,no_preference
aeb9ec0ad787,math500_internlm2_7b_reward_040,internlm2_7b_reward,math500,math500_317,gm|no_preference|gm,2,0,1,gm
af509ace1dbc,math500_skywork_prm_012,skywork_prm,math500,math500_396,gm|gm|gm,3,0,0,gm
b55a5038f75a,gsm8k_skywork_prm_045,skywork_prm,gsm8k,gsm8k_493,gm|no_preference|gm,2,0,1,gm
b65a2542f27e,math500_skywork_prm_006,skywork_prm,math500,math500_475,product|no_preference|gm,1,1,1,split
bb8e63a9d708,gsm8k_skywork_prm_047,skywork_prm,gsm8k,gsm8k_422,gm|gm|gm,3,0,0,gm
bc11fae4e2ba,gsm8k_internlm2_7b_reward_076,internlm2_7b_reward,gsm8k,gsm8k_456,gm|no_preference|no_preference,1,0,2,no_preference
bed59e202f6d,math500_skywork_prm_056,skywork_prm,math500,math500_469,gm|no_preference|gm,2,0,1,gm
c050737d135b,math500_skywork_prm_039,skywork_prm,math500,math500_151,gm|no_preference|gm,2,0,1,gm
c099765b56a2,math500_internlm2_7b_reward_032,internlm2_7b_reward,math500,math500_056,no_preference|no_preference|gm,1,0,2,no_preference
c28fe081cd0a,gsm8k_skywork_prm_011,skywork_prm,gsm8k,gsm8k_152,gm|no_preference|gm,2,0,1,gm
c2d4706fab0f,gsm8k_skywork_prm_070,skywork_prm,gsm8k,gsm8k_172,gm|no_preference|gm,2,0,1,gm
c44b89827ed6,gsm8k_internlm2_7b_reward_077,internlm2_7b_reward,gsm8k,gsm8k_366,no_preference|no_preference|gm,1,0,2,no_preference
c565dbc8212d,gsm8k_skywork_prm_083,skywork_prm,gsm8k,gsm8k_193,gm|no_preference|gm,2,0,1,gm
c5e62e62b3f1,math500_internlm2_7b_reward_037,internlm2_7b_reward,math500,math500_208,no_preference|no_preference|gm,1,0,2,no_preference
c657431ed4ec,math500_internlm2_7b_reward_050,internlm2_7b_reward,math500,math500_112,gm|no_preference|gm,2,0,1,gm
c6dcda8ecc42,math500_skywork_prm_062,skywork_prm,math500,math500_093,gm|no_preference|gm,2,0,1,gm
c71cfd5554ab,math500_internlm2_7b_reward_006,internlm2_7b_reward,math500,math500_038,gm|no_preference|gm,2,0,1,gm
c8a3c0be29bf,gsm8k_internlm2_7b_reward_035,internlm2_7b_reward,gsm8k,gsm8k_264,gm|no_preference|gm,2,0,1,gm
c9b90e6459b9,math500_internlm2_7b_reward_045,internlm2_7b_reward,math500,math500_037,no_preference|no_preference|gm,1,0,2,no_preference
c9c0ae612b9f,math500_skywork_prm_024,skywork_prm,math500,math500_474,no_preference|no_preference|gm,1,0,2,no_preference
cb67057171c0,math500_skywork_prm_047,skywork_prm,math500,math500_334,no_preference|no_preference|gm,1,0,2,no_preference
cc5726e0fe8c,gsm8k_skywork_prm_065,skywork_prm,gsm8k,gsm8k_385,no_preference|no_preference|no_preference,0,0,3,no_preference
ccb3ac97a880,gsm8k_skywork_prm_008,skywork_prm,gsm8k,gsm8k_198,gm|no_preference|gm,2,0,1,gm
ce65c6a9c923,gsm8k_internlm2_7b_reward_031,internlm2_7b_reward,gsm8k,gsm8k_421,gm|gm|gm,3,0,0,gm
d01eca5053df,math500_internlm2_7b_reward_078,internlm2_7b_reward,math500,math500_226,no_preference|no_preference|no_preference,0,0,3,no_preference
d11b185d7c08,gsm8k_skywork_prm_050,skywork_prm,gsm8k,gsm8k_142,no_preference|no_preference|no_preference,0,0,3,no_preference
d177ef91678d,gsm8k_skywork_prm_036,skywork_prm,gsm8k,gsm8k_268,gm|no_preference|no_preference,1,0,2,no_preference
d3516a6d174f,gsm8k_skywork_prm_048,skywork_prm,gsm8k,gsm8k_025,gm|no_preference|gm,2,0,1,gm
d404cd86343f,gsm8k_skywork_prm_100,skywork_prm,gsm8k,gsm8k_467,gm|no_preference|gm,2,0,1,gm
d4c8945551d9,gsm8k_internlm2_7b_reward_014,internlm2_7b_reward,gsm8k,gsm8k_389,no_preference|no_preference|no_preference,0,0,3,no_preference
d672e23e67fe,gsm8k_internlm2_7b_reward_026,internlm2_7b_reward,gsm8k,gsm8k_163,gm|no_preference|gm,2,0,1,gm
d8d9eebe9620,gsm8k_skywork_prm_039,skywork_prm,gsm8k,gsm8k_336,gm|no_preference|gm,2,0,1,gm
d97571a24bbb,math500_internlm2_7b_reward_013,internlm2_7b_reward,math500,math500_055,no_preference|no_preference|no_preference,0,0,3,no_preference
da0dd69948c7,math500_internlm2_7b_reward_086,internlm2_7b_reward,math500,math500_121,no_preference|no_preference|gm,1,0,2,no_preference
dc81af2746e2,math500_internlm2_7b_reward_094,internlm2_7b_reward,math500,math500_395,no_preference|no_preference|gm,1,0,2,no_preference
dd5ff5cfe7fd,math500_internlm2_7b_reward_017,internlm2_7b_reward,math500,math500_142,gm|no_preference|gm,2,0,1,gm
dde4c87fc50a,math500_internlm2_7b_reward_026,internlm2_7b_reward,math500,math500_034,gm|no_preference|no_preference,1,0,2,no_preference
de8bb5c383ad,math500_skywork_prm_054,skywork_prm,math500,math500_363,no_preference|no_preference|no_preference,0,0,3,no_preference
e1bac3dd0af8,math500_skywork_prm_030,skywork_prm,math500,math500_237,gm|no_preference|gm,2,0,1,gm
e4542cf5c9cc,gsm8k_skywork_prm_086,skywork_prm,gsm8k,gsm8k_170,gm|no_preference|gm,2,0,1,gm
e466a3646393,gsm8k_skywork_prm_080,skywork_prm,gsm8k,gsm8k_316,no_preference|no_preference|no_preference,0,0,3,no_preference
e4e81431fcd3,math500_skywork_prm_046,skywork_prm,math500,math500_259,no_preference|no_preference|gm,1,0,2,no_preference
e802289004fb,gsm8k_internlm2_7b_reward_048,internlm2_7b_reward,gsm8k,gsm8k_351,gm|no_preference|gm,2,0,1,gm
e8f5bf6eb540,gsm8k_internlm2_7b_reward_010,internlm2_7b_reward,gsm8k,gsm8k_423,no_preference|no_preference|gm,1,0,2,no_preference
e92541a9b790,math500_internlm2_7b_reward_079,internlm2_7b_reward,math500,math500_397,gm|gm|gm,3,0,0,gm
ea9e7e5f9ca5,gsm8k_skywork_prm_066,skywork_prm,gsm8k,gsm8k_219,no_preference|no_preference|no_preference,0,0,3,no_preference
eb2829a3e225,math500_skywork_prm_001,skywork_prm,math500,math500_304,no_preference|no_preference|gm,1,0,2,no_preference
edc0e56e470b,math500_skywork_prm_061,skywork_prm,math500,math500_044,no_preference|no_preference|no_preference,0,0,3,no_preference
ee0c7621ff10,gsm8k_internlm2_7b_reward_027,internlm2_7b_reward,gsm8k,gsm8k_213,gm|no_preference|gm,2,0,1,gm
eef98f801fff,gsm8k_internlm2_7b_reward_005,internlm2_7b_reward,gsm8k,gsm8k_024,gm|no_preference|gm,2,0,1,gm
f25badf92003,math500_skywork_prm_029,skywork_prm,math500,math500_142,gm|no_preference|no_preference,1,0,2,no_preference
f3e947063a1d,math500_skywork_prm_038,skywork_prm,math500,math500_016,no_preference|no_preference|no_preference,0,0,3,no_preference
f550223045e2,math500_internlm2_7b_reward_075,internlm2_7b_reward,math500,math500_087,gm|no_preference|gm,2,0,1,gm
f5aa9f1feeb7,gsm8k_internlm2_7b_reward_023,internlm2_7b_reward,gsm8k,gsm8k_165,product|no_preference|product,0,2,1,product
fa746c447420,math500_skywork_prm_060,skywork_prm,math500,math500_105,no_preference|no_preference|no_preference,0,0,3,no_preference
fd20ea573003,gsm8k_skywork_prm_069,skywork_prm,gsm8k,gsm8k_475,no_preference|no_preference|no_preference,0,0,3,no_preference
fe8f9a56274b,math500_skywork_prm_042,skywork_prm,math500,math500_141,no_preference|no_preference|gm,1,0,2,no_preference
ffd4b90a8514,math500_internlm2_7b_reward_044,internlm2_7b_reward,math500,math500_275,gm|no_preference|gm,2,0,1,gm
ffd4bad29048,math500_internlm2_7b_reward_081,internlm2_7b_reward,math500,math500_449,no_preference|no_preference|gm,1,0,2,no_preference
