card_id,prm,benchmark,problem_id,annotator_1_raw,annotator_2_raw,annotator_3_raw,annotator_1_source,annotator_2_source,annotator_3_source,product_votes,native_votes,no_preference_votes,missing_or_other_votes,majority_vote
NP_0054,skywork_prm,gsm8k,gsm8k_146,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0055,skywork_prm,gsm8k,gsm8k_229,No preference,A,No preference,no_preference,native,no_preference,0,1,2,0,no_preference
NP_0056,skywork_prm,gsm8k,gsm8k_420,No preference,A,No preference,no_preference,native,no_preference,0,1,2,0,no_preference
NP_0057,skywork_prm,gsm8k,gsm8k_387,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0058,skywork_prm,gsm8k,gsm8k_057,No preference,A,No preference,no_preference,native,no_preference,0,1,2,0,no_preference
NP_0059,skywork_prm,gsm8k,gsm8k_427,No preference,A,A,no_preference,product,product,2,0,1,0,product
NP_0060,skywork_prm,gsm8k,gsm8k_381,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0061,skywork_prm,gsm8k,gsm8k_336,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0062,skywork_prm,gsm8k,gsm8k_276,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0063,skywork_prm,gsm8k,gsm8k_358,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0064,skywork_prm,gsm8k,gsm8k_234,No preference,B,No preference,no_preference,native,no_preference,0,1,2,0,no_preference
NP_0065,skywork_prm,gsm8k,gsm8k_447,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0066,skywork_prm,gsm8k,gsm8k_227,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0067,skywork_prm,gsm8k,gsm8k_467,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0068,skywork_prm,gsm8k,gsm8k_257,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0069,skywork_prm,gsm8k,gsm8k_083,No preference,B,No preference,no_preference,product,no_preference,1,0,2,0,no_preference
NP_0070,skywork_prm,gsm8k,gsm8k_410,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0071,skywork_prm,math500,math500_217,No preference,No preference,B,no_preference,no_preference,product,1,0,2,0,no_preference
NP_0072,skywork_prm,math500,math500_466,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0073,skywork_prm,math500,math500_286,A,A,A,native,native,native,0,3,0,0,native
NP_0074,skywork_prm,math500,math500_488,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0075,skywork_prm,math500,math500_098,No preference,A,No preference,no_preference,product,no_preference,1,0,2,0,no_preference
NP_0076,skywork_prm,math500,math500_255,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0077,skywork_prm,math500,math500_249,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0078,skywork_prm,math500,math500_219,A,B,A,product,native,product,2,1,0,0,product
NP_0079,skywork_prm,math500,math500_193,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0080,skywork_prm,math500,math500_283,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0081,skywork_prm,math500,math500_184,No preference,A,No preference,no_preference,native,no_preference,0,1,2,0,no_preference
NP_0082,skywork_prm,math500,math500_318,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0083,skywork_prm,math500,math500_131,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0084,skywork_prm,math500,math500_400,No preference,No preference,B,no_preference,no_preference,product,1,0,2,0,no_preference
NP_0085,skywork_prm,math500,math500_392,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0086,skywork_prm,math500,math500_429,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0087,skywork_prm,math500,math500_227,No preference,A,No preference,no_preference,native,no_preference,0,1,2,0,no_preference
NP_0088,skywork_prm,math500,math500_238,No preference,A,B,no_preference,product,native,1,1,1,0,split
NP_0089,skywork_prm,math500,math500_493,No preference,A,No preference,no_preference,product,no_preference,1,0,2,0,no_preference
NP_0090,skywork_prm,math500,math500_326,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0091,skywork_prm,math500,math500_002,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0092,skywork_prm,math500,math500_371,A,A,A,product,product,product,3,0,0,0,product
NP_0093,skywork_prm,math500,math500_463,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0094,skywork_prm,math500,math500_125,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0095,skywork_prm,math500,math500_381,No preference,No preference,B,no_preference,no_preference,native,0,1,2,0,no_preference
NP_0096,skywork_prm,math500,math500_079,No preference,A,No preference,no_preference,product,no_preference,1,0,2,0,no_preference
NP_0097,skywork_prm,math500,math500_355,A,A,A,native,native,native,0,3,0,0,native
NP_0098,skywork_prm,math500,math500_247,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0099,skywork_prm,math500,math500_422,A,A,A,native,native,native,0,3,0,0,native
NP_0100,skywork_prm,math500,math500_049,No preference,A,No preference,no_preference,product,no_preference,1,0,2,0,no_preference
NP_0101,skywork_prm,math500,math500_398,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0102,skywork_prm,math500,math500_423,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0103,skywork_prm,math500,math500_037,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0104,skywork_prm,math500,math500_207,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0105,skywork_prm,math500,math500_438,No preference,A,No preference,no_preference,product,no_preference,1,0,2,0,no_preference
NP_0106,skywork_prm,math500,math500_195,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0107,skywork_prm,math500,math500_146,No preference,B,No preference,no_preference,native,no_preference,0,1,2,0,no_preference
NP_0108,skywork_prm,math500,math500_440,No preference,B,No preference,no_preference,native,no_preference,0,1,2,0,no_preference
NP_0109,skywork_prm,math500,math500_032,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0110,skywork_prm,math500,math500_166,A,A,B,native,native,product,1,2,0,0,native
NP_0111,skywork_prm,math500,math500_196,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0112,skywork_prm,math500,math500_316,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0113,skywork_prm,math500,math500_084,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0114,skywork_prm,math500,math500_157,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0115,skywork_prm,math500,math500_172,No preference,A,No preference,no_preference,product,no_preference,1,0,2,0,no_preference
NP_0116,skywork_prm,math500,math500_303,No preference,No preference,B,no_preference,no_preference,native,0,1,2,0,no_preference
NP_0117,skywork_prm,math500,math500_395,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0118,skywork_prm,math500,math500_161,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0119,skywork_prm,math500,math500_137,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0120,skywork_prm,math500,math500_091,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0121,skywork_prm,math500,math500_273,No preference,A,No preference,no_preference,native,no_preference,0,1,2,0,no_preference
NP_0122,skywork_prm,math500,math500_454,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0123,skywork_prm,math500,math500_058,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0124,skywork_prm,math500,math500_237,No preference,B,No preference,no_preference,product,no_preference,1,0,2,0,no_preference
NP_0125,skywork_prm,math500,math500_291,No preference,A,No preference,no_preference,product,no_preference,1,0,2,0,no_preference
NP_0126,skywork_prm,math500,math500_489,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0127,skywork_prm,math500,math500_162,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0128,skywork_prm,math500,math500_143,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0129,skywork_prm,math500,math500_471,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0130,skywork_prm,math500,math500_050,No preference,B,No preference,no_preference,product,no_preference,1,0,2,0,no_preference
NP_0131,skywork_prm,math500,math500_479,No preference,B,No preference,no_preference,native,no_preference,0,1,2,0,no_preference
NP_0132,skywork_prm,math500,math500_174,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0133,skywork_prm,math500,math500_025,A,A,A,native,native,native,0,3,0,0,native
NP_0134,skywork_prm,math500,math500_069,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0135,skywork_prm,math500,math500_253,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0136,skywork_prm,math500,math500_200,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0137,skywork_prm,math500,math500_224,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0138,skywork_prm,math500,math500_245,A,A,No preference,native,native,no_preference,0,2,1,0,native
NP_0139,skywork_prm,math500,math500_430,No preference,A,No preference,no_preference,product,no_preference,1,0,2,0,no_preference
NP_0140,skywork_prm,math500,math500_005,No preference,A,No preference,no_preference,product,no_preference,1,0,2,0,no_preference
NP_0141,internlm2_7b_reward,gsm8k,gsm8k_411,B,B,A,native,native,product,1,2,0,0,native
NP_0142,internlm2_7b_reward,gsm8k,gsm8k_374,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0143,internlm2_7b_reward,gsm8k,gsm8k_259,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0144,internlm2_7b_reward,gsm8k,gsm8k_293,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0145,internlm2_7b_reward,gsm8k,gsm8k_419,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0146,internlm2_7b_reward,gsm8k,gsm8k_073,A,A,A,native,native,native,0,3,0,0,native
NP_0147,internlm2_7b_reward,gsm8k,gsm8k_005,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0148,internlm2_7b_reward,gsm8k,gsm8k_223,No preference,A,No preference,no_preference,native,no_preference,0,1,2,0,no_preference
NP_0149,internlm2_7b_reward,gsm8k,gsm8k_202,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0150,internlm2_7b_reward,gsm8k,gsm8k_040,No preference,B,No preference,no_preference,product,no_preference,1,0,2,0,no_preference
NP_0151,internlm2_7b_reward,gsm8k,gsm8k_453,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0152,internlm2_7b_reward,gsm8k,gsm8k_033,No preference,B,No preference,no_preference,product,no_preference,1,0,2,0,no_preference
NP_0153,internlm2_7b_reward,gsm8k,gsm8k_136,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0154,internlm2_7b_reward,gsm8k,gsm8k_162,B,B,B,native,native,native,0,3,0,0,native
NP_0155,internlm2_7b_reward,gsm8k,gsm8k_117,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0156,internlm2_7b_reward,gsm8k,gsm8k_304,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0157,internlm2_7b_reward,gsm8k,gsm8k_344,No preference,B,No preference,no_preference,product,no_preference,1,0,2,0,no_preference
NP_0158,internlm2_7b_reward,gsm8k,gsm8k_372,No preference,A,No preference,no_preference,product,no_preference,1,0,2,0,no_preference
NP_0159,internlm2_7b_reward,gsm8k,gsm8k_026,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0160,internlm2_7b_reward,gsm8k,gsm8k_443,B,B,B,native,native,native,0,3,0,0,native
NP_0161,internlm2_7b_reward,gsm8k,gsm8k_215,No preference,A,No preference,no_preference,product,no_preference,1,0,2,0,no_preference
NP_0162,internlm2_7b_reward,gsm8k,gsm8k_270,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0163,internlm2_7b_reward,gsm8k,gsm8k_386,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0164,internlm2_7b_reward,gsm8k,gsm8k_198,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0165,internlm2_7b_reward,gsm8k,gsm8k_465,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0166,internlm2_7b_reward,gsm8k,gsm8k_047,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0167,internlm2_7b_reward,gsm8k,gsm8k_289,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0168,internlm2_7b_reward,gsm8k,gsm8k_373,No preference,B,No preference,no_preference,product,no_preference,1,0,2,0,no_preference
NP_0169,internlm2_7b_reward,gsm8k,gsm8k_092,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0170,internlm2_7b_reward,gsm8k,gsm8k_175,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0171,internlm2_7b_reward,gsm8k,gsm8k_056,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0172,internlm2_7b_reward,gsm8k,gsm8k_114,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0173,internlm2_7b_reward,gsm8k,gsm8k_358,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0174,internlm2_7b_reward,gsm8k,gsm8k_137,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0175,internlm2_7b_reward,gsm8k,gsm8k_447,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0176,internlm2_7b_reward,gsm8k,gsm8k_158,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0177,internlm2_7b_reward,gsm8k,gsm8k_145,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0178,internlm2_7b_reward,gsm8k,gsm8k_277,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0179,internlm2_7b_reward,gsm8k,gsm8k_059,No preference,B,No preference,no_preference,native,no_preference,0,1,2,0,no_preference
NP_0180,internlm2_7b_reward,gsm8k,gsm8k_379,No preference,A,No preference,no_preference,native,no_preference,0,1,2,0,no_preference
NP_0181,internlm2_7b_reward,gsm8k,gsm8k_001,No preference,A,No preference,no_preference,product,no_preference,1,0,2,0,no_preference
NP_0182,internlm2_7b_reward,gsm8k,gsm8k_320,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0183,internlm2_7b_reward,gsm8k,gsm8k_462,No preference,B,No preference,no_preference,native,no_preference,0,1,2,0,no_preference
NP_0184,internlm2_7b_reward,gsm8k,gsm8k_171,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0185,internlm2_7b_reward,gsm8k,gsm8k_007,A,No preference,A,product,no_preference,product,2,0,1,0,product
NP_0186,internlm2_7b_reward,gsm8k,gsm8k_228,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0187,internlm2_7b_reward,gsm8k,gsm8k_187,No preference,B,No preference,no_preference,native,no_preference,0,1,2,0,no_preference
NP_0188,internlm2_7b_reward,gsm8k,gsm8k_132,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0189,internlm2_7b_reward,gsm8k,gsm8k_464,No preference,B,No preference,no_preference,native,no_preference,0,1,2,0,no_preference
NP_0190,internlm2_7b_reward,gsm8k,gsm8k_036,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0191,internlm2_7b_reward,gsm8k,gsm8k_037,B,B,B,native,native,native,0,3,0,0,native
NP_0192,internlm2_7b_reward,gsm8k,gsm8k_062,A,No preference,No preference,product,no_preference,no_preference,1,0,2,0,no_preference
NP_0193,internlm2_7b_reward,gsm8k,gsm8k_241,B,No preference,B,native,no_preference,native,0,2,1,0,native
NP_0194,internlm2_7b_reward,gsm8k,gsm8k_272,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0195,internlm2_7b_reward,gsm8k,gsm8k_323,No preference,A,No preference,no_preference,native,no_preference,0,1,2,0,no_preference
NP_0196,internlm2_7b_reward,gsm8k,gsm8k_414,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0197,internlm2_7b_reward,gsm8k,gsm8k_473,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0198,internlm2_7b_reward,gsm8k,gsm8k_363,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0199,internlm2_7b_reward,gsm8k,gsm8k_097,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0200,internlm2_7b_reward,gsm8k,gsm8k_460,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0201,internlm2_7b_reward,gsm8k,gsm8k_018,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0202,internlm2_7b_reward,gsm8k,gsm8k_210,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0203,internlm2_7b_reward,gsm8k,gsm8k_438,No preference,A,No preference,no_preference,native,no_preference,0,1,2,0,no_preference
NP_0204,internlm2_7b_reward,gsm8k,gsm8k_260,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0205,internlm2_7b_reward,gsm8k,gsm8k_006,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0206,internlm2_7b_reward,gsm8k,gsm8k_341,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0207,internlm2_7b_reward,gsm8k,gsm8k_043,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0208,internlm2_7b_reward,gsm8k,gsm8k_338,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0209,internlm2_7b_reward,gsm8k,gsm8k_149,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0210,internlm2_7b_reward,gsm8k,gsm8k_434,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0211,internlm2_7b_reward,math500,math500_448,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0212,internlm2_7b_reward,math500,math500_216,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0213,internlm2_7b_reward,math500,math500_151,No preference,A,No preference,no_preference,native,no_preference,0,1,2,0,no_preference
NP_0214,internlm2_7b_reward,math500,math500_111,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0215,internlm2_7b_reward,math500,math500_435,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0216,internlm2_7b_reward,math500,math500_040,No preference,A,No preference,no_preference,product,no_preference,1,0,2,0,no_preference
