prm,benchmark,card_id,product_steps,gm_steps,step_delta,product_correct,gm_correct
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_034,2,4,-2,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_035,2,4,-2,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_036,3,4,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_037,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_038,2,4,-2,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_039,4,5,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_040,4,6,-2,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_041,3,4,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_042,2,5,-3,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_043,2,4,-2,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_044,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_045,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_046,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_047,2,6,-4,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_048,2,4,-2,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_049,2,4,-2,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_050,4,7,-3,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_051,2,5,-3,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_052,2,4,-2,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_053,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_054,2,4,-2,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_055,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_056,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_057,3,6,-3,True,False
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_058,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_059,2,4,-2,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_060,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_061,3,4,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_062,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_063,2,7,-5,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_064,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_065,3,6,-3,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_066,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_067,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_068,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_069,2,5,-3,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_070,2,5,-3,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_071,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_072,2,5,-3,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_073,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_074,2,6,-4,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_075,4,7,-3,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_076,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_077,3,4,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_078,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_079,2,4,-2,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_080,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_081,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_082,4,8,-4,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_083,2,4,-2,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_084,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_085,3,4,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_086,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_087,2,7,-5,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_088,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_089,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_090,3,4,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_091,3,11,-8,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_092,2,6,-4,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_093,2,4,-2,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_094,2,4,-2,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_095,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_096,3,4,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_097,2,4,-2,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_098,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_099,4,5,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_100,3,4,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_001,4,8,-4,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_002,3,4,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_003,2,3,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_004,3,4,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_005,2,3,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_006,3,4,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_007,3,4,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_008,5,6,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_009,5,6,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_010,2,3,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_011,3,4,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_012,4,8,-4,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_013,7,10,-3,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_014,2,3,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_015,7,11,-4,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_016,2,6,-4,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_017,3,4,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_018,2,3,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_019,4,28,-24,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_020,2,30,-28,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_021,4,5,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_022,4,5,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_023,2,6,-4,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_024,3,4,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_025,2,4,-2,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_026,5,23,-18,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_027,2,3,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_028,3,4,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_029,2,4,-2,True,False
internlm2_7b_reward,math500,math500_internlm2_7b_reward_030,3,6,-3,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_031,2,3,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_032,5,8,-3,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_033,3,4,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_034,3,4,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_035,2,3,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_036,2,3,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_037,5,8,-3,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_038,26,28,-2,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_039,2,6,-4,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_040,2,3,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_041,2,4,-2,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_042,3,5,-2,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_043,4,5,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_044,2,3,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_045,3,4,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_046,2,5,-3,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_047,2,3,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_048,2,7,-5,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_049,2,3,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_050,5,7,-2,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_051,3,4,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_052,2,3,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_053,2,7,-5,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_054,2,3,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_055,2,5,-3,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_056,3,12,-9,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_057,2,3,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_058,2,5,-3,True,False
internlm2_7b_reward,math500,math500_internlm2_7b_reward_059,3,11,-8,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_060,5,24,-19,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_061,2,3,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_062,2,3,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_063,2,6,-4,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_064,4,12,-8,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_065,4,5,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_066,2,3,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_067,3,4,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_068,4,8,-4,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_069,2,3,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_070,2,8,-6,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_071,2,5,-3,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_072,4,5,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_073,4,6,-2,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_074,2,3,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_075,4,5,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_076,2,6,-4,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_077,5,6,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_078,3,4,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_079,2,4,-2,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_080,2,7,-5,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_081,5,7,-2,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_082,3,7,-4,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_083,2,3,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_084,5,7,-2,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_085,3,4,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_086,4,5,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_087,6,12,-6,True,False
internlm2_7b_reward,math500,math500_internlm2_7b_reward_088,18,23,-5,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_089,3,6,-3,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_090,5,6,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_091,2,3,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_092,3,7,-4,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_093,5,7,-2,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_094,4,5,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_095,2,3,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_096,8,12,-4,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_097,2,7,-5,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_098,4,8,-4,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_099,3,4,-1,True,True
internlm2_7b_reward,math500,math500_internlm2_7b_reward_100,2,17,-15,True,False
qwen_prm,gsm8k,gsm8k_qwen_prm_001,7,8,-1,True,True
qwen_prm,gsm8k,gsm8k_qwen_prm_002,2,3,-1,True,True
qwen_prm,gsm8k,gsm8k_qwen_prm_003,5,6,-1,True,True
qwen_prm,gsm8k,gsm8k_qwen_prm_004,2,10,-8,True,True
qwen_prm,gsm8k,gsm8k_qwen_prm_005,4,11,-7,True,True
qwen_prm,gsm8k,gsm8k_qwen_prm_006,2,8,-6,True,True
qwen_prm,gsm8k,gsm8k_qwen_prm_007,9,10,-1,True,True
qwen_prm,gsm8k,gsm8k_qwen_prm_008,4,6,-2,True,True
qwen_prm,gsm8k,gsm8k_qwen_prm_009,6,7,-1,True,True
qwen_prm,gsm8k,gsm8k_qwen_prm_010,5,6,-1,True,True
qwen_prm,gsm8k,gsm8k_qwen_prm_011,5,6,-1,True,True
qwen_prm,gsm8k,gsm8k_qwen_prm_012,6,7,-1,True,True
qwen_prm,gsm8k,gsm8k_qwen_prm_013,5,12,-7,True,True
qwen_prm,gsm8k,gsm8k_qwen_prm_014,3,6,-3,True,True
qwen_prm,gsm8k,gsm8k_qwen_prm_015,4,8,-4,True,True
qwen_prm,gsm8k,gsm8k_qwen_prm_016,5,9,-4,True,True
qwen_prm,math500,math500_qwen_prm_001,4,5,-1,True,True
qwen_prm,math500,math500_qwen_prm_002,2,6,-4,True,True
qwen_prm,math500,math500_qwen_prm_003,2,23,-21,True,True
qwen_prm,math500,math500_qwen_prm_004,6,11,-5,True,True
qwen_prm,math500,math500_qwen_prm_005,7,8,-1,True,True
qwen_prm,math500,math500_qwen_prm_006,9,10,-1,True,True
qwen_prm,math500,math500_qwen_prm_007,2,34,-32,True,True
qwen_prm,math500,math500_qwen_prm_008,2,3,-1,True,True
qwen_prm,math500,math500_qwen_prm_009,4,12,-8,True,True
qwen_prm,math500,math500_qwen_prm_010,6,7,-1,True,True
qwen_prm,math500,math500_qwen_prm_011,5,16,-11,True,False
qwen_prm,math500,math500_qwen_prm_012,2,3,-1,True,True
qwen_prm,math500,math500_qwen_prm_013,2,3,-1,True,True
qwen_prm,math500,math500_qwen_prm_014,2,3,-1,True,True
qwen_prm,math500,math500_qwen_prm_015,12,20,-8,True,True
qwen_prm,math500,math500_qwen_prm_016,3,6,-3,True,True
qwen_prm,math500,math500_qwen_prm_017,6,15,-9,True,True
qwen_prm,math500,math500_qwen_prm_018,3,4,-1,True,True
qwen_prm,math500,math500_qwen_prm_019,3,4,-1,True,True
qwen_prm,math500,math500_qwen_prm_020,2,3,-1,True,True
qwen_prm,math500,math500_qwen_prm_021,25,26,-1,True,True
qwen_prm,math500,math500_qwen_prm_022,5,6,-1,True,True
qwen_prm,math500,math500_qwen_prm_023,5,21,-16,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_001,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_002,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_003,4,12,-8,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_004,2,7,-5,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_005,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_006,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_007,4,5,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_008,3,4,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_009,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_010,2,5,-3,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_011,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_012,2,7,-5,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_013,3,4,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_014,2,6,-4,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_015,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_016,3,4,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_017,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_018,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_019,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_020,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_021,2,5,-3,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_022,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_023,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_024,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_025,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_026,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_027,2,12,-10,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_028,2,6,-4,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_029,3,4,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_030,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_031,2,9,-7,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_032,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_033,2,5,-3,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_034,2,5,-3,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_035,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_036,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_037,2,8,-6,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_038,4,5,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_039,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_040,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_041,2,13,-11,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_042,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_043,7,12,-5,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_044,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_045,4,5,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_046,2,5,-3,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_047,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_048,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_049,2,7,-5,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_050,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_051,2,6,-4,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_052,2,7,-5,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_053,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_054,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_055,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_056,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_057,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_058,2,9,-7,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_059,2,5,-3,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_060,2,4,-2,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_061,2,6,-4,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_062,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_063,2,4,-2,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_064,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_065,3,6,-3,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_066,2,5,-3,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_067,3,4,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_068,3,4,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_069,2,5,-3,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_070,3,4,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_071,2,6,-4,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_072,4,7,-3,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_073,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_074,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_075,5,6,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_076,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_077,7,8,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_078,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_079,2,7,-5,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_080,2,6,-4,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_081,3,4,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_082,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_083,3,4,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_084,2,4,-2,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_085,2,4,-2,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_086,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_087,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_088,2,4,-2,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_089,3,10,-7,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_090,3,14,-11,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_091,2,9,-7,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_092,3,7,-4,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_093,6,10,-4,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_094,2,3,-1,True,True
skywork_prm,gsm8k,gsm8k_skywork_prm_095,2,3,-1,True,True
