card_id,problem_id,benchmark,product_trace_id,mean_trace_id,annotator_1,annotator_2,annotator_3,majority_vote
SWM_034,gsm8k_323,gsm8k,31,13,product,arith_mean,arith_mean,arith_mean
SWM_035,gsm8k_333,gsm8k,3,31,product,product,product,product
SWM_036,gsm8k_337,gsm8k,27,25,product,product,product,product
SWM_037,gsm8k_354,gsm8k,20,21,product,arith_mean,arith_mean,arith_mean
SWM_038,gsm8k_367,gsm8k,7,2,arith_mean,arith_mean,arith_mean,arith_mean
SWM_039,gsm8k_391,gsm8k,25,11,product,arith_mean,arith_mean,arith_mean
SWM_040,gsm8k_415,gsm8k,14,21,arith_mean,product,arith_mean,arith_mean
SWM_041,gsm8k_420,gsm8k,13,30,arith_mean,product,arith_mean,arith_mean
SWM_042,gsm8k_434,gsm8k,27,18,product,product,product,product
SWM_043,gsm8k_448,gsm8k,23,6,product,arith_mean,product,product
SWM_044,gsm8k_449,gsm8k,13,19,arith_mean,arith_mean,arith_mean,arith_mean
SWM_045,gsm8k_462,gsm8k,25,2,arith_mean,product,product,product
SWM_046,gsm8k_471,gsm8k,16,26,arith_mean,arith_mean,arith_mean,arith_mean
SWM_047,gsm8k_472,gsm8k,28,7,arith_mean,product,arith_mean,arith_mean
SWM_048,gsm8k_481,gsm8k,14,12,arith_mean,arith_mean,product,arith_mean
SWM_049,gsm8k_483,gsm8k,3,31,arith_mean,arith_mean,arith_mean,arith_mean
SWM_050,gsm8k_499,gsm8k,16,6,arith_mean,arith_mean,arith_mean,arith_mean
SWM_051,math500_021,math500,10,4,arith_mean,product,arith_mean,arith_mean
SWM_052,math500_028,math500,27,26,arith_mean,arith_mean,arith_mean,arith_mean
SWM_053,math500_034,math500,10,13,product,product,product,product
SWM_054,math500_039,math500,30,0,arith_mean,arith_mean,arith_mean,arith_mean
SWM_055,math500_040,math500,13,2,product,product,product,product
SWM_056,math500_042,math500,22,5,product,product,product,product
SWM_057,math500_051,math500,30,23,product,product,arith_mean,product
SWM_058,math500_098,math500,12,19,product,product,product,product
SWM_059,math500_105,math500,29,13,product,arith_mean,product,product
SWM_060,math500_116,math500,9,0,arith_mean,arith_mean,arith_mean,arith_mean
SWM_061,math500_135,math500,1,14,product,arith_mean,product,product
SWM_062,math500_149,math500,21,22,arith_mean,product,product,product
SWM_063,math500_158,math500,19,26,product,product,product,product
SWM_064,math500_159,math500,25,0,product,arith_mean,arith_mean,arith_mean
SWM_065,math500_167,math500,20,14,product,product,product,product
SWM_066,math500_183,math500,15,24,product,product,product,product
SWM_067,math500_184,math500,3,16,product,product,product,product
SWM_068,math500_186,math500,16,19,arith_mean,arith_mean,arith_mean,arith_mean
SWM_069,math500_196,math500,20,11,arith_mean,arith_mean,arith_mean,arith_mean
SWM_070,math500_206,math500,15,28,product,arith_mean,product,product
SWM_071,math500_211,math500,9,20,arith_mean,arith_mean,arith_mean,arith_mean
SWM_072,math500_228,math500,7,27,product,product,product,product
SWM_073,math500_234,math500,31,15,arith_mean,product,arith_mean,arith_mean
SWM_074,math500_237,math500,13,6,product,product,product,product
SWM_075,math500_241,math500,2,6,product,product,product,product
SWM_076,math500_249,math500,30,11,product,product,product,product
SWM_077,math500_261,math500,21,11,arith_mean,product,arith_mean,arith_mean
SWM_078,math500_288,math500,3,6,arith_mean,arith_mean,arith_mean,arith_mean
SWM_079,math500_291,math500,23,17,arith_mean,arith_mean,arith_mean,arith_mean
SWM_080,math500_322,math500,16,3,product,arith_mean,arith_mean,arith_mean
SWM_081,math500_336,math500,4,17,product,product,product,product
SWM_082,math500_348,math500,24,13,product,product,arith_mean,product
SWM_083,math500_368,math500,31,27,product,product,product,product
SWM_084,math500_375,math500,14,22,product,product,product,product
SWM_085,math500_379,math500,4,18,arith_mean,arith_mean,arith_mean,arith_mean
SWM_086,math500_384,math500,8,20,arith_mean,arith_mean,arith_mean,arith_mean
SWM_087,math500_385,math500,11,22,arith_mean,product,arith_mean,arith_mean
SWM_088,math500_391,math500,8,31,arith_mean,arith_mean,arith_mean,arith_mean
SWM_089,math500_403,math500,28,31,product,arith_mean,product,product
SWM_090,math500_407,math500,18,17,product,arith_mean,product,product
SWM_091,math500_412,math500,23,29,arith_mean,arith_mean,arith_mean,arith_mean
SWM_092,math500_417,math500,2,0,product,arith_mean,product,product
SWM_093,math500_423,math500,1,19,arith_mean,arith_mean,arith_mean,arith_mean
SWM_094,math500_424,math500,6,2,product,product,product,product
SWM_095,math500_452,math500,24,7,product,product,product,product
SWM_096,math500_455,math500,12,9,arith_mean,arith_mean,arith_mean,arith_mean
SWM_097,math500_462,math500,31,16,product,product,product,product
SWM_098,math500_471,math500,6,15,product,arith_mean,arith_mean,arith_mean
SWM_099,math500_472,math500,6,14,arith_mean,arith_mean,arith_mean,arith_mean
SWM_100,math500_480,math500,7,28,arith_mean,product,arith_mean,arith_mean
